Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,147.65625,-75.40625,0.0,bottom
C2,100nF,C_0603_1608Metric,152.4,-87.3125,270.0,bottom
C3,100nF,C_0603_1608Metric,159.54375,-86.51875,180.0,bottom
C4,100nF,C_0603_1608Metric,159.54375,-75.40625,180.0,bottom
C5,100nF,C_0603_1608Metric,159.525,-84.93125,180.0,bottom
C6,10uF,C_0603_1608Metric,147.6375,-73.81875,0.0,bottom
C7,100nF,C_0603_1608Metric,153.9875,-87.3125,270.0,bottom
C8,1uF,C_0603_1608Metric,152.4,-65.4875,0.0,bottom
C9,1uF,C_0603_1608Metric,152.4,-71.02625,0.0,bottom
D1,D_Small,D_SOD-123F,135.2375,-43.45625,90.0,bottom
D2,D_Small,D_SOD-123F,137.61875,-43.45625,90.0,bottom
D3,D_Small,D_SOD-123F,140.0,-43.45625,90.0,bottom
D4,D_Small,D_SOD-123F,142.38125,-43.45625,90.0,bottom
D5,D_Small,D_SOD-123F,144.7625,-43.45625,90.0,bottom
D6,D_Small,D_SOD-123F,147.14375,-43.45625,90.0,bottom
D7,D_Small,D_SOD-123F,151.1125,-43.45625,90.0,bottom
D8,D_Small,D_SOD-123F,153.49375,-43.45625,90.0,bottom
D9,D_Small,D_SOD-123F,155.875,-43.45625,90.0,bottom
D10,D_Small,D_SOD-123F,158.25625,-43.45625,90.0,bottom
D11,D_Small,D_SOD-123F,160.6375,-43.45625,90.0,bottom
D12,D_Small,D_SOD-123F,163.01875,-43.45625,90.0,bottom
D13,D_Small,D_SOD-123F,152.4,-49.0125,270.0,bottom
D14,D_Small,D_SOD-123F,150.01875,-49.0125,270.0,bottom
D15,D_Small,D_SOD-123F,147.6375,-49.0125,270.0,bottom
D16,D_Small,D_SOD-123F,145.25625,-49.0125,270.0,bottom
D17,D_Small,D_SOD-123F,142.875,-49.0125,270.0,bottom
D18,D_Small,D_SOD-123F,140.49375,-49.0125,270.0,bottom
D19,D_Small,D_SOD-123F,156.36875,-49.0125,270.0,bottom
D20,D_Small,D_SOD-123F,158.75,-49.0125,270.0,bottom
D21,D_Small,D_SOD-123F,161.13125,-49.0125,270.0,bottom
D22,D_Small,D_SOD-123F,168.275,-49.0125,270.0,bottom
D23,D_Small,D_SOD-123F,165.89375,-49.0125,270.0,bottom
D24,D_Small,D_SOD-123F,163.5125,-49.0125,270.0,bottom
D25,D_Small,D_SOD-123F,162.71875,-54.56875,270.0,bottom
D26,D_Small,D_SOD-123F,160.3375,-54.56875,270.0,bottom
D27,D_Small,D_SOD-123F,157.95625,-54.56875,270.0,bottom
D28,D_Small,D_SOD-123F,150.8125,-54.56875,270.0,bottom
D29,D_Small,D_SOD-123F,153.19375,-54.56875,270.0,bottom
D30,D_Small,D_SOD-123F,155.575,-54.56875,270.0,bottom
D31,D_Small,D_SOD-123F,171.45,-54.56875,270.0,bottom
D32,D_Small,D_SOD-123F,173.83125,-54.56875,270.0,bottom
D33,D_Small,D_SOD-123F,176.2125,-54.56875,270.0,bottom
D34,D_Small,D_SOD-123F,169.06875,-54.56875,270.0,bottom
D35,D_Small,D_SOD-123F,166.6875,-54.56875,270.0,bottom
D36,D_Small,D_SOD-123F,145.65625,-60.3125,270.0,bottom
D37,D_Small,D_SOD-123F,148.0375,-60.3125,270.0,bottom
D38,D_Small,D_SOD-123F,150.41875,-60.3125,270.0,bottom
D39,D_Small,D_SOD-123F,152.8,-60.3125,270.0,bottom
D40,D_Small,D_SOD-123F,156.76875,-60.3125,270.0,bottom
D41,D_Small,D_SOD-123F,159.15,-60.3125,270.0,bottom
D42,D_Small,D_SOD-123F,161.53125,-60.3125,270.0,bottom
D43,D_Small,D_SOD-123F,163.9125,-60.3125,270.0,bottom
D_PWR1,SMF9.0CA,D_SOD-123,154.78125,-25.4,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,143.66875,-25.4,270.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,149.225,-17.4625,180.0,bottom
R1,10k,R_0603_1608Metric,165.89375,-76.2,90.0,bottom
R2,5k1,R_0603_1608Metric,146.05,-25.4,270.0,bottom
R3,5k1,R_0603_1608Metric,152.4,-25.4,270.0,bottom
SW1,SKQGABE010,SW_SPST_SKQG_WithStem,169.8625,-72.23125,90.0,bottom
U1,STM32F072CBT6,LQFP-48_7x7mm_P0.5mm,153.8875,-80.16875,90.0,bottom
U2,USBLC6-2SC6,SOT-23-6,149.225,-25.4,90.0,bottom
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,152.4,-68.2625,90.0,bottom
